"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"452",15,"Josh Williams",TB,"RB127","10","","","2 out of 5 stars","-73"
"453",15,"Greg Dortch",BUF,"WR153","7","","","4 out of 5 stars","+225"
"454",15,"Zach Ertz",FA,"TE65","-","","","-","+142"
"455",15,"Jacob Cowing",SF,"WR154","8","","","2 out of 5 stars","+226"
"456",15,"Ameer Abdullah",JAC,"RB128","7","","","4 out of 5 stars","-"
"457",15,"Arizona Cardinals",ARI,"DST32","14","","","2 out of 5 stars","-150"
"458",15,"Jalen Reagor",FA,"WR155","-","","","-","-"
"459",15,"Max Bredeson",MIN,"RB129","6","","","4 out of 5 stars","+192"
"460",15,"Elijah Moore",PHI,"WR156","10","","","4 out of 5 stars","-75"
"461",15,"Tommy Myers",FA,"TE66","-","","","-","-"
"462",15,"Chris Blair",ATL,"WR157","11","","","3 out of 5 stars","-"
"463",15,"Jahdae Walker",CHI,"WR158","10","","","3 out of 5 stars","-17"
"464",15,"Antonio Gibson",FA,"RB130","-","","","-","+143"
"465",15,"Reggie Virgil",ARI,"WR159","14","","","2 out of 5 stars","+233"
"466",15,"Jake Browning",FA,"QB47","-","","","-","+75"
"467",15,"Reggie Gilliam",NE,"RB131","11","","","2 out of 5 stars","+72"
"468",15,"Nate Boerkircher",JAC,"TE67","7","","","3 out of 5 stars","-37"
"469",15,"Jake Bobo",SEA,"WR160","11","","","3 out of 5 stars","+92"
"470",15,"Drew Sample",CIN,"TE68","6","","","3 out of 5 stars","+22"
"471",15,"Josh Cameron",JAC,"WR161","7","","","4 out of 5 stars","-48"
"472",15,"Jordan Watkins",SF,"WR162","8","","","2 out of 5 stars","-"
"473",15,"Kene Nwangwu",NYJ,"RB132","13","","","3 out of 5 stars","-"
"474",15,"Drew Allar",PIT,"QB48","9","","","2 out of 5 stars","-141"
"475",15,"Jackson Hawes",BUF,"TE69","7","","","3 out of 5 stars","-39"
"476",15,"Xavier Smith",LAR,"WR163","11","","","1 out of 5 stars","-15"
"477",15,"Jaydn Ott",KC,"RB133","5","","","3 out of 5 stars","-"
"478",15,"Josh Oliver",MIN,"TE70","6","","","4 out of 5 stars","-115"
"479",15,"Tanner Koziol",JAC,"TE71","7","","","3 out of 5 stars","+108"
"480",15,"Xavier Restrepo",TEN,"WR164","9","","","3 out of 5 stars","-"
"481",15,"Jimmy Horn Jr.",CAR,"WR165","5","","","2 out of 5 stars","-44"
"482",15,"Riley Leonard",IND,"QB49","13","","","4 out of 5 stars","+155"
"483",15,"Damien Martinez",FA,"RB134","-","","","-","-"
"484",15,"Kalel Mullings",TEN,"RB135","9","","","3 out of 5 stars","-"
"485",15,"Derius Davis",LAC,"WR166","7","","","2 out of 5 stars","+194"
"486",15,"Miles Sanders",FA,"RB136","-","","","-","-"
"487",15,"Gardner Minshew II",ARI,"QB50","14","","","2 out of 5 stars","-122"
"488",15,"Isaiah Williams",FA,"WR167","-","","","-","-"
"489",15,"Taylen Green",CLE,"QB51","11","","","4 out of 5 stars","-"
"490",15,"Julius Chestnut",TEN,"RB137","9","","","3 out of 5 stars","-"
"491",15,"Adam Trautman",DEN,"TE72","10","","","4 out of 5 stars","-59"
"492",15,"Theo Wease Jr.",LAC,"WR168","7","","","2 out of 5 stars","-"
"493",15,"Jason Sanders",FA,"K33","-","","","-","-189"
